,Name,Location,Location_encoded,Year,Kilometers_Driven,Fuel_Type,fuel_encoded,Transmission,Transmission_encoder,Owner_Type,Owner_Type_Encoding,Mileage,Engine,Power,Seats,New_Price,Price
2,Honda Jazz V,Chennai,2,2011,46000,Petrol,2,Manual,1,First,0,18.2,1199.0,88.7,5.0,8.61,4.5
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,9,2016,36000,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,8.0,21,17.5
10,Maruti Ciaz Zeta,Kochi,7,2018,25692,Petrol,2,Manual,1,First,0,21.56,1462.0,103.25,5.0,10.65,9.95
15,Mitsubishi Pajero Sport 4X4,Delhi,4,2014,110000,Diesel,1,Manual,1,First,0,13.5,2477.0,175.56,7.0,32.01,15.0
20,BMW 3 Series 320d,Kochi,7,2014,32982,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,47.87,18.55
28,Honda WRV i-VTEC VX,Kochi,7,2018,37430,Petrol,2,Manual,1,First,0,17.5,1199.0,88.7,5.0,10.57,9.9
34,Volkswagen Vento 1.6 Highline,Coimbatore,3,2014,55431,Petrol,2,Manual,1,Second,1,16.09,1598.0,103.5,5.0,12.33,6.98
36,Maruti Vitara Brezza ZDi Plus,Kochi,7,2018,50075,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.12,8.63
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,1,2014,46374,Petrol,2,Automatic,0,First,0,14.62,1999.0,149.92,5.0,23.64,8.85
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,1,2012,70704,Petrol,2,Manual,1,First,0,11.25,2694.0,163.7,7.0,18.64,10.95
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,9,2017,22000,Diesel,1,Manual,1,First,0,13.68,2393.0,147.8,8.0,19.34,16.5
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,3,2019,15369,Diesel,1,Automatic,0,First,0,0.0,1950.0,194.0,5.0,49.14,35.67
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,9,2018,13000,Diesel,1,Manual,1,First,0,22.1,1396.0,88.7,5.0,11.81,10.5
73,Nissan Terrano XV D Pre,Kochi,7,2015,56066,Diesel,1,Manual,1,First,0,19.64,1461.0,108.5,5.0,16.65,6.92
81,Tata Zest Revotron 1.2T XE,Pune,10,2017,70000,Petrol,2,Manual,1,First,0,17.57,1193.0,88.7,5.0,6.67,4.5
102,Datsun GO Plus T Petrol,Pune,10,2017,32851,Petrol,2,Manual,1,First,0,19.83,1198.0,67.0,7.0,6.45,3.95
106,Toyota Etios Liva 1.2 G,Ahmedabad,0,2014,53000,Petrol,2,Manual,1,First,0,17.71,1197.0,78.9,5.0,6.41,3.9
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,9,2017,30000,Diesel,1,Automatic,0,First,0,11.36,2755.0,171.5,7.0,27,19.25
111,Maruti Eeco 5 Seater AC,Coimbatore,3,2017,38053,Petrol,2,Manual,1,First,0,15.1,1196.0,73.0,5.0,5.13,3.91
113,BMW 3 Series 320d Luxury Line,Mumbai,9,2015,56087,Diesel,1,Automatic,0,First,0,22.69,1995.0,190.0,5.0,54.43,20.75
117,Nissan Micra XV CVT,Coimbatore,3,2016,39882,Petrol,2,Automatic,0,First,0,19.15,1198.0,75.94,5.0,9.51,6.55
119,Maruti Vitara Brezza VDi,Mumbai,9,2016,55000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,9.96,7.5
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,8,2018,10250,Diesel,1,Manual,1,First,0,22.0,1582.0,126.2,5.0,14.44,10.95
133,Maruti Alto K10 VXI,Hyderabad,5,2014,88500,Petrol,2,Manual,1,First,0,24.07,998.0,67.1,5.0,4.53,2.6
134,Mercedes-Benz SLC 43 AMG,Kolkata,8,2017,13372,Petrol,2,Automatic,0,First,0,19.0,2996.0,362.07,2.0,95.04,54.0
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,7,2019,12645,Petrol,2,Automatic,0,First,0,17.0,1591.0,121.3,5.0,13.49,11.5
148,Audi RS5 Coupe,Mumbai,9,2013,23000,Petrol,2,Automatic,0,First,0,11.05,2894.0,444.0,4.0,1.28,37.0
149,BMW 3 Series Luxury Line,Mumbai,9,2014,48000,Diesel,1,Automatic,0,First,0,21.76,1995.0,190.0,5.0,60.88,26.5
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,8,2019,1000,Petrol,2,Manual,1,First,0,18.9,1197.0,81.86,5.0,7.39,6.5
182,BMW 5 Series 520d Luxury Line,Hyderabad,5,2014,51000,Diesel,1,Automatic,0,First,0,22.48,1995.0,190.0,5.0,69.47,33.5
187,Maruti Baleno Alpha,Kochi,7,2017,24773,Petrol,2,Manual,1,First,0,21.4,1197.0,83.1,5.0,8.78,7.5
193,Maruti Ertiga ZDI,Mumbai,9,2016,33000,Diesel,1,Manual,1,First,0,25.47,1248.0,88.5,7.0,12.74,8.5
200,Mahindra NuvoSport N6,Chennai,2,2017,29000,Diesel,1,Manual,1,Second,1,17.45,1493.0,100.0,7.0,10.52,6.5
201,Maruti Vitara Brezza ZDi Plus Dual Tone,Mumbai,9,2016,20000,Diesel,1,Manual,1,First,0,24.3,1248.0,88.5,5.0,11.98,9.0
210,Honda Amaze S Diesel,Kolkata,8,2013,45000,Diesel,1,Manual,1,First,0,27.4,1498.0,98.6,5.0,8.54,3.25
219,Skoda Superb Style 1.8 TSI AT,Hyderabad,5,2017,26000,Petrol,2,Automatic,0,First,0,14.67,1798.0,177.46,5.0,33.58,26.0
223,Mahindra Verito 1.5 D4 BSIV,Hyderabad,5,2013,107000,Diesel,1,Manual,1,First,0,21.03,1461.0,65.0,5.0,9.12,3.7
225,Maruti Wagon R VXI,Kolkata,8,2013,32000,Petrol,2,Manual,1,First,0,22.5,998.0,67.04,5.0,5.29,2.65
228,Mini Cooper Convertible S,Kochi,7,2017,26327,Petrol,2,Automatic,0,First,0,16.82,1998.0,189.08,4.0,44.28,35.67
